Position,2017/18,Pts (2017/18),GD (2017/18),2018/19,Pts (2018/19),GD (2018/19),2019/20,Pts (2019/20),GD (2019/20),VAR (Awarded)(2019/20),VAR (Scored)(2019/20),VAR (+)(2019/20),VAR (Against)(2019/20),VAR (Scored)(2019/20),VAR (-)(2019/20),Pts (No VAR)(2019/20),GD (No VAR)(2019/20),Table (No VAR)(2019/20),Shift(2019/20),2020/21,Pts (2020/21),GD (2020/21),VAR (Awarded)(2020/21),VAR (Scored)(2020/21),VAR (+)(2020/21),VAR (Against)(2020/21),VAR (Scored)(2020/21),VAR (-)(2020/21),Pts (No VAR)(2020/21),GD (No VAR)(2020/21),Table (No VAR)(2020/21),Shift(2020/21),2021/22,Pts (2021/22),GD (2021/22),VAR (Awarded)(2021/22),VAR (Scored)(2021/22),VAR (+)(2021/22),VAR (Against)(2021/22),VAR (Scored)(2021/22),VAR (-)(2021/22),Pts (No VAR)(2021/22),GD (No VAR)(2021/22),Table (No VAR)(2021/22),Shift(2021/22)
1,Man City,100,79,Man City,98,72,Liverpool,99,52,0,0,0,0,0,0,99,52,Liverpool,0,Man City,86,51,1,0,0,1,1,0,86,52,Man City,0,Man City,93,73,4,3,2,0,0,0,91,70,Man City,0
2,Man Utd,81,40,Liverpool,97,67,Man City,81,67,6,3,0,1,1,1,82,65,Man City,0,Man Utd,74,29,3,2,4,1,1,0,70,28,Liverpool,1,Liverpool,92,68,3,3,2,0,0,0,90,65,Liverpool,0
3,Tottenham,77,38,Chelsea,72,24,Man Utd,66,30,3,1,2,1,1,2,66,30,Chelsea,1,Liverpool,69,26,0,0,0,3,2,2,71,28,Man Utd,-1,Chelsea,74,43,3,3,3,2,2,2,73,42,Chelsea,0
4,Liverpool,75,46,Tottenham,71,28,Chelsea,66,15,2,2,0,1,1,0,66,14,Man Utd,-1,Chelsea,67,22,2,2,4,0,0,0,63,20,Leicester City,1,Tottenham,71,29,1,1,2,1,1,0,69,29,Arsenal,1
5,Chelsea,70,24,Arsenal,70,22,Leicester City,62,26,0,0,0,3,2,1,63,28,Leicester City,0,Leicester City,66,18,4,4,2,3,3,2,66,17,West Ham,1,Arsenal,69,13,4,4,0,2,2,2,71,11,Tottenham,-1
6,Arsenal,63,23,Man Utd,66,11,Tottenham,59,14,1,0,0,1,1,0,59 ,15,Wolves,1,West Ham,65,15,1,1,0,2,1,0,65,15,Chelsea,-2,Man Utd,58,0,1,1,2,3,1,0,56,0,Man Utd,0
7,Burnley,54,-3,Wolves,57,1,Wolves,59,11,0,0,0,2,2,1,60,13,Tottenham,-1,Tottenham,62,23,2,2,4,4,4,2,60,25,Arsenal,1,West Ham,56,9,4,3,2,2,1,1,54,7,West Ham,0
8,Everton,49,-14,Everton,54,8,Arsenal,56,8,2,2,2,1,1,1,55,-7,Arsenal,0,Arsenal,61,16,1,1,0,0,0,0,61,15,Tottenham,-1,Leicester City,52,3,0,0,0,4,4,0,52,7,Wolves,2
9,Leicester City,47,-4,Leicester City,52,3,Sheffield Utd,54,0,0,0,0,1,0,0,54,0,Sheffield Utd,0,Leeds Utd,59,8,0,0,0,1,1,0,59,9,Leeds Utd,0,Brighton,51,-2,3,1,1,1,0,0,50,-3,Leicester City,-1
10,Newcastle Utd,44,-8,West Ham,52,-3,Burnley,54,-7,1,1,0,1,1,0,54,-7,Burnley,0,Everton,59,-1,1,1,2,0,0,0,57,-2,Everton,0,Wolves,51,-5,1,1,0,2,1,2,53,-5,Crystal Palace,2
11,Crystal Palace,44,-10,Watford,50,-7,Southampton,52,-9,1,0,0,2,1,1,53,-8,Southampton,0,Aston Villa,55,9,0,0,0,0,0,0,55,9,Aston Villa,0,Newcastle Utd,49,-18,2,2,3,3,3,4,50,-17,Brighton,-2
12,AFC Bournemouth,44,-16,Crystal Palace,49,-2,Everton,49,-12,1,1,0,1,1,0,49,-12,Everton,0,Newcastle Utd,45,-16,2,2,1,3,3,1,45,-15,Wolves,1,Crystal Palace,48,4,1,1,0,4,3,2,50,6,Newcastle Utd,-1
13,West Ham,42,-20,Newcastle Utd,45,-6,Newcastle Utd,44,-20,1,0,0,0,0,0,44,-20,Newcastle Utd,0,Wolves,45,-16,0,0,0,2,2,3,48,-14,Newcastle Utd,-1,Brentford,46,-8,2,2,2,0,0,0,44,-10,Aston Villa,1
14,Watford,41,-20,AFC Bournemouth,45,-14,Crystal Palace,43,-19,1,1,1,0,0,0,42,-20,Crystal Palace,0,Crystal Palace,44,-25,2,2,2,1,1,1,43,-26,Brighton,2,Aston Villa,45,-2,1,1,0,1,0,0,45,-3,Brentford,-1
15,Brighton,40,-20,Burnley,40,-23,Brighton,41,-15,1,1,2,0,0,0,39,-16,Brighton,0,Southampton,43,-21,2,2,2,2,2,1,42,-21,Crystal Palace,-1,Southampton,40,-24,2,2,3,1,1,0,37,-25,Everton,1
16,Huddersfield Town,37,-30,Southampton,39,-20,West Ham,39,-13,1,1,1,1,1,0,38,-13,West Ham,0,Brighton,41,-6,2,1,1,3,3,3,43,-8,Southampton,-1,Everton,39,-23,4,3,1,2,2,1,39,-24,Leeds Utd,1
17,Southampton,36,-19,Brighton,36,-25,Aston Villa,35,-26,1,0,0,1,1,1,36,-25,Aston Villa,0,Burnley,39,-22,1,1,0,0,0,0,39,-23,Burnley,0,Leeds Utd,38,-37,1,1,2,2,2,3,39,-36,Burnley,1
18,Swansea,33,-28,Cardiff City,34,-35,AFC Bournemouth,34,-25,0,0,0,1,1,0,34,-24,Watford,1,Fulham,28,-26,2,1,2,1,1,2,28,-26,Fulham,0,Burnley,35,-19,0,0,0,3,3,2,37,-16,Southampton,-3
19,Stoke City,33,-33,Fulham,26,-47,Watford,34,-28,1,1,0,2,2,1,35,-27,AFC Bournemouth,-1,W.B. Albion,26,-41,0,0,0,2,1,2,28,-40,W.B. Albion,0,Watford,23,-43,0,0,0,2,2,0,23,-41,Norwich City,1
20,W.B. Albion,31,-25,Huddersfield Town,16,-54,Norwich City,21,-49,0,0,0,3,1,2,23,-48,Norwich City,0,Sheffield Utd,23,-43,3,3,3,1,1,1,21,-45,Sheffield Utd,0,Norwich City,22,-61,2,2,0,5,5,2,24,-58,Watford,-1
